FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference,,SubDataSystemTime,PinnedSystemTime,TimeDifference
5724,86.148073,0.022331,104,179.732347,0.011167,,2.747875,2.591506,0.156369
5725,86.170412,0.022339,105,179.754697,0.02235,,2.770214,2.613856,0.156358
5726,86.192769,0.022357,106,179.777023,0.022326,,2.792571,2.636182,0.156389
5727,86.215096,0.022327,107,179.799367,0.022344,,2.814898,2.658526,0.156372
5728,86.237436,0.02234,108,179.821708,0.022341,,2.837238,2.680867,0.156371
5729,86.259779,0.022343,109,179.844044,0.022336,,2.859581,2.703203,0.156378
5730,86.282126,0.022347,110,179.866392,0.022348,,2.881928,2.725551,0.156377
5731,86.304468,0.022342,111,179.888731,0.022339,,2.90427,2.74789,0.15638
5732,86.326797,0.022329,112,179.911072,0.022341,,2.926599,2.770231,0.156368
5733,86.349192,0.022395,113,179.933416,0.022344,,2.948994,2.792575,0.156419
5734,86.371489,0.022297,114,179.955763,0.022347,,2.971291,2.814922,0.156369
5735,86.393829,0.02234,115,179.978093,0.02233,,2.993631,2.837252,0.156379
5736,86.416168,0.022339,116,180.000437,0.022344,,3.01597,2.859596,0.156374
5737,86.438502,0.022334,117,180.022776,0.022339,,3.038304,2.881935,0.156369
5738,86.460843,0.022341,118,180.056288,0.033512,,3.060645,2.915447,0.145198
5739,86.48319,0.022347,119,180.078622,0.022334,,3.082992,2.937781,0.145211
5740,86.505529,0.022339,120,180.100962,0.02234,,3.105331,2.960121,0.14521
5741,86.550236,0.044707,121,180.123312,0.02235,,3.150038,2.982471,0.167567
5742,86.572567,0.022331,122,180.145647,0.022335,,3.172369,3.004806,0.167563
5743,86.594893,0.022326,123,180.167986,0.022339,,3.194695,3.027145,0.16755
5744,86.61723,0.022337,124,180.190326,0.02234,,3.217032,3.049485,0.167547
5745,86.639567,0.022337,125,180.212666,0.02234,,3.239369,3.071825,0.167544
5746,86.661984,0.022417,126,180.235019,0.022353,,3.261786,3.094178,0.167608
5747,86.684245,0.022261,127,180.257355,0.022336,,3.284047,3.116514,0.167533
5748,86.706608,0.022363,128,180.279686,0.022331,,3.30641,3.138845,0.167565
5749,86.728937,0.022329,129,180.302031,0.022345,,3.328739,3.16119,0.167549
5750,86.75128,0.022343,130,180.324369,0.022338,,3.351082,3.183528,0.167554
5751,86.773618,0.022338,131,180.346711,0.022342,,3.37342,3.20587,0.16755
5752,86.795954,0.022336,132,180.369051,0.02234,,3.395756,3.22821,0.167546
5753,86.818295,0.022341,133,180.391398,0.022347,,3.418097,3.250557,0.16754
5754,86.840637,0.022342,134,180.413733,0.022335,,3.440439,3.272892,0.167547
5755,86.862977,0.02234,135,180.436074,0.022341,,3.462779,3.295233,0.167546
5756,86.885318,0.022341,136,180.458418,0.022344,,3.48512,3.317577,0.167543
5757,86.907659,0.022341,137,180.480757,0.022339,,3.507461,3.339916,0.167545
5758,86.929997,0.022338,138,180.514259,0.033502,,3.529799,3.373418,0.156381
5759,86.952341,0.022344,139,180.547781,0.033522,,3.552143,3.40694,0.145203
5760,86.974697,0.022356,140,180.581286,0.033505,,3.574499,3.440445,0.134054
5761,86.997026,0.022329,141,180.614802,0.033516,,3.596828,3.473961,0.122867
5762,87.019375,0.022349,142,180.648309,0.033507,,3.619177,3.507468,0.111709
5763,87.041702,0.022327,143,180.681823,0.033514,,3.641504,3.540982,0.100522
5764,87.064041,0.022339,144,180.715334,0.033511,,3.663843,3.574493,0.08935
5765,87.086386,0.022345,145,180.748849,0.033515,,3.686188,3.608008,0.07818
5766,87.10874,0.022354,146,180.782352,0.033503,,3.708542,3.641511,0.067031
5767,87.131085,0.022345,147,180.815862,0.03351,,3.730887,3.675021,0.055866
5768,87.153402,0.022317,148,180.849372,0.03351,,3.753204,3.708531,0.044673
5769,87.175738,0.022336,149,180.882884,0.033512,,3.77554,3.742043,0.033497
5770,87.198085,0.022347,150,180.916422,0.033538,,3.797887,3.775581,0.022306
5771,87.220424,0.022339,151,180.949911,0.033489,,3.820226,3.80907,0.011156
5772,87.242763,0.022339,152,180.983461,0.03355,,3.842565,3.84262,-5.5E-05
5773,87.265126,0.022363,153,181.016931,0.03347,,3.864928,3.87609,-0.011162
5774,87.28745,0.022324,154,181.050476,0.033545,,3.887252,3.909635,-0.022383
5775,87.30979,0.02234,155,181.083971,0.033495,,3.909592,3.94313,-0.033538
5776,87.332149,0.022359,156,181.117464,0.033493,,3.931951,3.976623,-0.044672
5777,87.354478,0.022329,157,181.150981,0.033517,,3.95428,4.01014,-0.05586
5778,87.376816,0.022338,158,181.184517,0.033536,,3.976618,4.043676,-0.067058
5779,87.39917,0.022354,159,181.218002,0.033485,,3.998972,4.077161,-0.078189
5780,87.421495,0.022325,160,181.251529,0.033527,,4.021297,4.110688,-0.089391
5781,87.443841,0.022346,161,181.273865,0.022336,,4.043643,4.133024,-0.089381
5782,87.488523,0.044682,162,181.29618,0.022315,,4.088325,4.155339,-0.067014
5783,87.510866,0.022343,163,181.318528,0.022348,,4.110668,4.177687,-0.067019
5784,87.533198,0.022332,164,181.340885,0.022357,,4.133,4.200044,-0.067044
5785,87.555541,0.022343,165,181.363199,0.022314,,4.155343,4.222358,-0.067015
5786,87.577867,0.022326,166,181.385557,0.022358,,4.177669,4.244716,-0.067047
5787,87.600217,0.02235,167,181.40788,0.022323,,4.200019,4.267039,-0.06702
5788,87.622556,0.022339,168,181.430223,0.022343,,4.222358,4.289382,-0.067024
5789,87.644891,0.022335,169,181.452577,0.022354,,4.244693,4.311736,-0.067043
5790,87.667249,0.022358,170,181.474904,0.022327,,4.267051,4.334063,-0.067012
5791,87.689606,0.022357,171,181.497249,0.022345,,4.289408,4.356408,-0.067
5792,87.711917,0.022311,172,181.519584,0.022335,,4.311719,4.378743,-0.067024
5793,87.734275,0.022358,173,181.541925,0.022341,,4.334077,4.401084,-0.067007
5794,87.7566,0.022325,174,181.5643,0.022375,,4.356402,4.423459,-0.067057
5795,87.778943,0.022343,175,181.586635,0.022335,,4.378745,4.445794,-0.067049
5796,87.801287,0.022344,176,181.608949,0.022314,,4.401089,4.468108,-0.067019
5797,87.823628,0.022341,177,181.63129,0.022341,,4.42343,4.490449,-0.067019
5798,87.845957,0.022329,178,181.653644,0.022354,,4.445759,4.512803,-0.067044
5799,87.868314,0.022357,179,181.675971,0.022327,,4.468116,4.53513,-0.067014
5800,87.890644,0.02233,180,181.698336,0.022365,,4.490446,4.557495,-0.067049
5801,87.913003,0.022359,181,181.720656,0.02232,,4.512805,4.579815,-0.06701
5802,87.935329,0.022326,182,181.742991,0.022335,,4.535131,4.60215,-0.067019
5803,87.957667,0.022338,183,181.765348,0.022357,,4.557469,4.624507,-0.067038
5804,88.002347,0.04468,184,181.787684,0.022336,,4.602149,4.646843,-0.044694
5805,88.024689,0.022342,185,181.81002,0.022336,,4.624491,4.669179,-0.044688
5806,88.047027,0.022338,186,181.832388,0.022368,,4.646829,4.691547,-0.044718
5807,88.06937,0.022343,187,181.854707,0.022319,,4.669172,4.713866,-0.044694
5808,88.091721,0.022351,188,181.877034,0.022327,,4.691523,4.736193,-0.04467
5809,88.114105,0.022384,189,181.899383,0.022349,,4.713907,4.758542,-0.044635
5810,88.136391,0.022286,190,181.921715,0.022332,,4.736193,4.780874,-0.044681
5811,88.158745,0.022354,191,181.944058,0.022343,,4.758547,4.803217,-0.04467
5812,88.181139,0.022394,192,181.966401,0.022343,,4.780941,4.82556,-0.044619
5813,88.20341,0.022271,193,181.98876,0.022359,,4.803212,4.847919,-0.044707
5814,88.225755,0.022345,194,182.011104,0.022344,,4.825557,4.870263,-0.044706
5815,88.248087,0.022332,195,182.033429,0.022325,,4.847889,4.892588,-0.044699
5816,88.270433,0.022346,196,182.05579,0.022361,,4.870235,4.914949,-0.044714
5817,88.292829,0.022396,197,182.078104,0.022314,,4.892631,4.937263,-0.044632
5818,88.315123,0.022294,198,182.100498,0.022394,,4.914925,4.959657,-0.044732
5819,88.337479,0.022356,199,182.122846,0.022348,,4.937281,4.982005,-0.044724
5820,88.359808,0.022329,200,182.145127,0.022281,,4.95961,5.004286,-0.044676
5821,88.382137,0.022329,201,182.167469,0.022342,,4.981939,5.026628,-0.044689
5822,88.404483,0.022346,202,182.189812,0.022343,,5.004285,5.048971,-0.044686
5823,88.426817,0.022334,203,182.21217,0.022358,,5.026619,5.071329,-0.04471
5824,88.449178,0.022361,204,182.234488,0.022318,,5.04898,5.093647,-0.044667
5825,88.471495,0.022317,205,182.256847,0.022359,,5.071297,5.116006,-0.044709
5826,88.493841,0.022346,206,182.279226,0.022379,,5.093643,5.138385,-0.044742
5827,88.516187,0.022346,207,182.301513,0.022287,,5.115989,5.160672,-0.044683
5828,88.538523,0.022336,208,182.323878,0.022365,,5.138325,5.183037,-0.044712
5829,88.560864,0.022341,209,182.346213,0.022335,,5.160666,5.205372,-0.044706
5830,88.583225,0.022361,210,182.368534,0.022321,,5.183027,5.227693,-0.044666
5831,88.605543,0.022318,211,182.390897,0.022363,,5.205345,5.250056,-0.044711
5832,88.627887,0.022344,212,182.413271,0.022374,,5.227689,5.27243,-0.044741
5833,88.650232,0.022345,213,182.435614,0.022343,,5.250034,5.294773,-0.044739
5834,88.672601,0.022369,214,182.457919,0.022305,,5.272403,5.317078,-0.044675
5835,88.694909,0.022308,215,182.480238,0.022319,,5.294711,5.339397,-0.044686
5836,88.717255,0.022346,216,182.502575,0.022337,,5.317057,5.361734,-0.044677
5837,88.739584,0.022329,217,182.524935,0.02236,,5.339386,5.384094,-0.044708
5838,88.761926,0.022342,218,182.536143,0.011208,,5.361728,5.395302,-0.033574
5839,88.784267,0.022341,219,182.558429,0.022286,,5.384069,5.417588,-0.033519
5840,88.806606,0.022339,220,182.58078,0.022351,,5.406408,5.439939,-0.033531
5841,88.828948,0.022342,221,182.603166,0.022386,,5.42875,5.462325,-0.033575
5842,88.851288,0.02234,222,182.636614,0.033448,,5.45109,5.495773,-0.044683
5843,88.873633,0.022345,223,182.64779,0.011176,,5.473435,5.506949,-0.033514
5844,88.896011,0.022378,224,182.670124,0.022334,,5.495813,5.529283,-0.03347
5845,88.918328,0.022317,225,182.692465,0.022341,,5.51813,5.551624,-0.033494
5846,88.940655,0.022327,226,182.714822,0.022357,,5.540457,5.573981,-0.033524
