FrameIndex,SystemTimeInSeconds,Frame difference,Frame Number,PinnedMemorySystemTime,PM Frame difference
5848,88.985342,0.02235,228,182.759495,0.02234
5849,89.00769,0.022348,229,182.781827,0.022332
5850,89.030015,0.022325,230,182.804173,0.022346
5851,89.052358,0.022343,231,182.826515,0.022342
5852,89.074718,0.02236,232,182.848848,0.022333
5853,89.097069,0.022351,233,182.871198,0.02235
5854,89.14171,0.044641,234,182.893532,0.022334
5855,89.164061,0.022351,235,182.938222,0.04469
5856,89.186396,0.022335,236,182.949388,0.011166
5857,89.208769,0.022373,237,182.971728,0.02234
5858,89.231094,0.022325,238,182.994085,0.022357
5859,89.253432,0.022338,239,183.016419,0.022334
5860,89.275765,0.022333,240,183.038752,0.022333
5861,89.298108,0.022343,241,183.061091,0.022339
5862,89.320465,0.022357,242,183.094599,0.033508
5863,89.342809,0.022344,243,183.116946,0.022347
5864,89.365122,0.022313,244,183.139286,0.02234
5865,89.387469,0.022347,245,183.161638,0.022352
5866,89.4098,0.022331,246,183.183962,0.022324
5867,89.432136,0.022336,247,183.206314,0.022352
5868,89.454486,0.02235,248,183.228657,0.022343
5869,89.476821,0.022335,249,183.251012,0.022355
5870,89.49916,0.022339,250,183.273326,0.022314
5871,89.521504,0.022344,251,183.295671,0.022345
5872,89.543861,0.022357,252,183.318032,0.022361
5873,89.566199,0.022338,253,183.34035,0.022318
5874,89.588523,0.022324,254,183.362695,0.022345
5875,89.610867,0.022344,255,183.385049,0.022354
5876,89.633267,0.0224,256,183.407398,0.022349
5877,89.655558,0.022291,257,183.429728,0.02233
5878,89.677898,0.02234,258,183.45211,0.022382
5879,89.700232,0.022334,259,183.474457,0.022347
5880,89.722575,0.022343,260,183.496783,0.022326
5881,89.744919,0.022344,261,183.519086,0.022303
5882,89.767303,0.022384,262,183.541442,0.022356
5883,89.789592,0.022289,263,183.563816,0.022374
5884,89.811932,0.02234,264,183.586109,0.022293
5885,89.834267,0.022335,265,183.608435,0.022326
5886,89.856635,0.022368,266,183.619608,0.011173
5887,89.878978,0.022343,267,183.641968,0.02236
5888,89.9013,0.022322,268,183.664303,0.022335
5889,89.923666,0.022366,269,183.686628,0.022325
5890,89.945977,0.022311,270,183.708967,0.022339
5891,89.968324,0.022347,271,183.731312,0.022345
5892,89.990662,0.022338,272,183.75365,0.022338
5893,90.013004,0.022342,273,183.776012,0.022362
5894,90.035346,0.022342,274,183.798355,0.022343
5895,90.080045,0.044699,275,183.82067,0.022315
5896,90.102368,0.022323,276,183.843038,0.022368
5897,90.12471,0.022342,277,183.865368,0.02233
5898,90.147041,0.022331,278,183.898869,0.033501
5899,90.169392,0.022351,279,183.910032,0.011163
5900,90.191728,0.022336,280,183.932374,0.022342
5901,90.214062,0.022334,281,183.954706,0.022332
5902,90.236402,0.02234,282,183.977119,0.022413
5903,90.258745,0.022343,283,183.999399,0.02228
5904,90.281088,0.022343,284,184.021751,0.022352
5905,90.30342,0.022332,285,184.044079,0.022328
5906,90.325787,0.022367,286,184.066419,0.02234
5907,90.348122,0.022335,287,184.088776,0.022357
5908,90.370457,0.022335,288,184.111114,0.022338
5909,90.392855,0.022398,289,184.133472,0.022358
5910,90.415131,0.022276,290,184.155778,0.022306
5911,90.437492,0.022361,291,184.178168,0.02239
5912,90.459835,0.022343,292,184.200461,0.022293
5913,90.482171,0.022336,293,184.222827,0.022366
5914,90.504513,0.022342,294,184.24516,0.022333
5915,90.52684,0.022327,295,184.267477,0.022317
5916,90.54919,0.02235,296,184.289823,0.022346
5917,90.571519,0.022329,297,184.323333,0.03351
5918,90.593857,0.022338,298,184.356867,0.033534
5919,90.616195,0.022338,299,184.390383,0.033516
5920,90.638542,0.022347,300,184.423885,0.033502
5921,90.660916,0.022374,301,184.457403,0.033518
5922,90.683222,0.022306,302,184.490912,0.033509
5923,90.705558,0.022336,303,184.524463,0.033551
5924,90.727903,0.022345,304,184.55791,0.033447
5925,90.772574,0.044671,305,184.591424,0.033514
5926,90.794969,0.022395,306,184.624957,0.033533
5927,90.817257,0.022288,307,184.658446,0.033489
5928,90.839605,0.022348,308,184.691953,0.033507
5929,90.86194,0.022335,309,184.725506,0.033553
5930,90.884283,0.022343,310,184.758978,0.033472
5931,90.906622,0.022339,311,184.792529,0.033551
5932,90.929013,0.022391,312,184.826013,0.033484
5933,90.951301,0.022288,313,184.859514,0.033501
5934,90.973661,0.02236,314,184.893041,0.033527
5935,91.01833,0.044669,315,184.926534,0.033493
5936,91.040665,0.022335,316,184.960056,0.033522
5937,91.063012,0.022347,317,184.993593,0.033537
5938,91.085346,0.022334,318,185.027134,0.033541
5939,91.107679,0.022333,319,185.060574,0.03344
5940,91.130044,0.022365,320,185.082917,0.022343
5941,91.152372,0.022328,321,185.105252,0.022335
5942,91.174736,0.022364,322,185.127591,0.022339
5943,91.241764,0.067028,323,185.149951,0.02236
5944,91.264088,0.022324,324,185.172274,0.022323
5945,91.28643,0.022342,325,185.194615,0.022341
5946,91.308754,0.022324,326,185.217016,0.022401
5947,91.331095,0.022341,327,185.239297,0.022281
5948,91.353434,0.022339,328,185.261664,0.022367
5949,91.375775,0.022341,329,185.306373,0.044709
5950,91.398133,0.022358,330,185.328661,0.022288
5951,91.420478,0.022345,331,185.351025,0.022364
5952,91.442798,0.02232,332,185.373329,0.022304
5953,91.465155,0.022357,333,185.395681,0.022352
5954,91.487491,0.022336,334,185.418022,0.022341
5955,91.509815,0.022324,335,185.440364,0.022342
5956,91.532171,0.022356,336,185.462719,0.022355
5957,91.554496,0.022325,337,185.485066,0.022347
5958,91.576848,0.022352,338,185.507411,0.022345
5959,91.599208,0.02236,339,185.529728,0.022317
5960,91.621524,0.022316,340,185.552082,0.022354
5961,91.643875,0.022351,341,185.596768,0.044686
5962,91.666205,0.02233,342,185.619086,0.022318
5963,91.688548,0.022343,343,185.641431,0.022345
5964,91.710911,0.022363,344,185.674954,0.033523
5965,91.755565,0.044654,345,185.708501,0.033547
5966,91.77791,0.022345,346,185.741984,0.033483
5967,91.800245,0.022335,347,185.775469,0.033485
5968,91.822582,0.022337,348,185.80899,0.033521
5969,91.844929,0.022347,349,185.847856,0.038866
5970,91.867268,0.022339,350,185.876027,0.028171
5971,91.889603,0.022335,351,185.909519,0.033492
5972,91.911942,0.022339,352,185.943074,0.033555
5973,91.934292,0.02235,353,185.976577,0.033503
5974,91.956626,0.022334,354,186.010072,0.033495
5975,91.978972,0.022346,355,186.043555,0.033483
5976,92.001314,0.022342,356,186.077087,0.033532
5977,92.023646,0.022332,357,186.110598,0.033511
5978,92.045986,0.02234,358,186.144082,0.033484
5979,92.068332,0.022346,359,186.1776,0.033518
5980,92.090678,0.022346,360,186.211104,0.033504
5981,92.113021,0.022343,361,186.244615,0.033511
5982,92.13536,0.022339,362,186.278126,0.033511
5983,92.157709,0.022349,363,186.31164,0.033514
5984,92.180067,0.022358,364,186.34516,0.03352
5985,92.202375,0.022308,365,186.378683,0.033523
5986,92.224767,0.022392,366,186.412242,0.033559
5987,92.247116,0.022349,367,186.445711,0.033469
5988,92.269468,0.022352,368,186.468053,0.022342
5989,92.291747,0.022279,369,186.490435,0.022382
5990,92.314111,0.022364,370,186.512753,0.022318
5991,92.336418,0.022307,371,186.535052,0.022299
5992,92.35876,0.022342,372,186.557418,0.022366
5993,92.381118,0.022358,373,186.579732,0.022314
5994,92.403446,0.022328,374,186.602071,0.022339
5995,92.425809,0.022363,375,186.624462,0.022391
5996,92.448122,0.022313,376,186.646757,0.022295
5997,92.470486,0.022364,377,186.669097,0.02234
5998,92.492807,0.022321,378,186.691462,0.022365
5999,92.515176,0.022369,379,186.713783,0.022321
6000,92.537486,0.02231,380,186.736121,0.022338
6001,92.559827,0.022341,381,186.758456,0.022335
6002,92.582237,0.02241,382,186.780792,0.022336
6003,92.604516,0.022279,383,186.803153,0.022361
6004,92.626841,0.022325,384,186.825492,0.022339
6005,92.649208,0.022367,385,186.847816,0.022324
6006,92.671538,0.02233,386,186.870176,0.02236
6007,92.693883,0.022345,387,186.892541,0.022365
6008,92.716228,0.022345,388,186.914839,0.022298
6009,92.738554,0.022326,389,186.937181,0.022342
6010,92.760898,0.022344,390,186.959525,0.022344
6011,92.783243,0.022345,391,186.981883,0.022358
6012,92.805574,0.022331,392,187.00422,0.022337
6013,92.827907,0.022333,393,187.026542,0.022322
6014,92.850257,0.02235,394,187.048909,0.022367
6015,92.872597,0.02234,395,187.071222,0.022313
6016,92.894928,0.022331,396,187.093607,0.022385
6017,92.917277,0.022349,397,187.115922,0.022315
6018,92.939649,0.022372,398,187.138247,0.022325
6019,92.961949,0.0223,399,187.160579,0.022332
6020,92.984298,0.022349,400,187.182956,0.022377
6021,93.006636,0.022338,401,187.205286,0.02233
6022,93.028972,0.022336,402,187.227607,0.022321
6023,93.051313,0.022341,403,187.249947,0.02234
6024,93.062491,0.011178,404,187.272308,0.022361
6025,93.073668,0.011177,405,187.294661,0.022353
6026,93.084825,0.011157,406,187.317025,0.022364
